Road,Progress_m,RelativeElevation_m,LocalTurning_K_deg,LocalSlopeVariation_G_deg,Dstar_m,ValidForCorrelation,IsAdaptiveWaypoint,RoadEndWindowClass
A,210.782890260495,15.5030348286186,2.12114675682746,1.2491092150515,8.10238554071375,1,0,FullD0Window
A,212.802750215951,15.8085441839298,1.35007005743583,1.17744660058308,8.11578919298265,1,0,FullD0Window
A,214.826630200266,16.1238429361758,0.95581811035224,1.079654234755,8.12641011786008,1,0,FullD0Window
A,216.854167447593,16.4492339321934,0.921056055286751,0.902047975388933,8.13361411179733,1,1,FullD0Window
A,218.885275801208,16.787642802252,1.24753425486363,0.72221668616859,8.13651473891383,1,0,FullD0Window
A,220.918539408934,17.1345694703208,1.94746210881458,0.57926256646754,8.13592046255019,1,0,FullD0Window
A,222.953040318126,17.4889592319544,2.76347085005474,0.430763883837272,8.13244808591051,1,0,FullD0Window
A,224.98778155939,17.8493032276443,3.51419526158152,0.342540355098937,8.13366128103993,1,1,FullD0Window
A,227.021790540122,18.2139091006176,4.13660395819757,0.319784205386466,8.13974046101046,1,0,FullD0Window
A,229.054459871484,18.5824538801902,4.62311699203414,0.336358850770055,8.14633311978108,1,0,FullD0Window
A,231.085488404037,18.9537416843705,5.23624713102776,0.44490986311524,8.14899606676931,1,0,FullD0Window
A,233.12144284043,19.3257298912316,6.80143603182987,0.618968496385786,8.13665300425546,1,1,FullD0Window
A,235.161531001133,19.6960111880538,9.73092186440996,0.768624077530162,8.12689985712836,1,0,FullD0Window
A,237.200792991265,20.0623905055525,13.9042231541183,0.891097183264417,8.1249327056772,1,0,FullD0Window
A,239.234484470806,20.4233654792229,19.4111467463246,1.01802690371595,8.11215474166644,1,0,FullD0Window
A,241.258095844686,20.7781731126306,25.0807228993458,1.13634158299555,8.13057735468217,1,1,FullD0Window
A,243.288430858261,21.1257128500829,28.746376466113,1.29848039024996,8.09714008918203,1,0,FullD0Window
A,245.325725696942,21.4650155284342,30.0319319988028,1.47132056650401,8.11184358350292,1,0,FullD0Window
A,247.346639212472,21.7955486129127,29.0625449638686,1.58908105987399,8.10394642760184,1,0,FullD0Window
A,249.388673199368,22.1165704576929,25.6385842860221,1.82445965002901,8.07017351983649,1,1,FullD0Window
A,251.385570947443,22.4265047438745,20.4018508755911,1.91550007446994,8.10780135271244,1,0,FullD0Window
A,253.437569280445,22.7224762907069,15.9356815987831,1.98276543341092,8.07360796801811,1,0,FullD0Window
A,255.450585640074,23.0040635036941,12.2736195324074,2.21691681856583,8.06098461879637,1,0,FullD0Window
