ScaleR,InstanceNumber,InstanceID,MethodOrder,MethodID,MethodLabel,RunCount,J_Mean,J_SD,L3D_Mean_m,L3D_SD_m,Hplus_Mean_m,Hplus_SD_m,FlightTime_Mean_s,FlightTime_SD_s,TransferEnergy_Mean_kJ,TransferEnergy_SD_kJ,TransferLength_Mean_m,TransferLength_SD_m,DetourCount_Mean,UnsafeStraightCount_Mean,MinimumTransferClearance_Mean_m,Improvement_Mean_pct,Improvement_SD_pct,Gap_Mean_pct,Gap_SD_pct,Runtime_Mean_s,Runtime_SD_s,Generations_Mean,J_MeanPlusMinusSD,L3D_MeanPlusMinusSD_m,Hplus_MeanPlusMinusSD_m,FlightTime_MeanPlusMinusSD_s,TransferEnergy_MeanPlusMinusSD_kJ,Improvement_MeanPlusMinusSD_pct,Gap_MeanPlusMinusSD_pct,Runtime_MeanPlusMinusSD_s
10,3,R10_I03,2,NN_DP,Nearest neighbour-DP,1,403.644089971332,0,8551.98054453044,0,413.231164683496,0,1468.92991083714,0,84.137975079894,0,3716.44858486477,0,4,4,25,15.1617121255652,0,3.3467565541066,0,0.0001901,0,0,403.644 ± 0.000,8551.981 ± 0.000,413.231 ± 0.000,1468.930 ± 0.000,84.138 ± 0.000,15.162 ± 0.000,3.347 ± 0.000,0.0002 ± 0.0000
10,3,R10_I03,3,JOINT_GA,Joint-encoding GA,20,394.741105523847,1.70339029490786,8283.24204050753,52.2084671671319,396.497048373076,4.86776759151399,1452.23486030689,3.39961762111789,75.1731296191103,1.82628736413979,3447.71008084186,52.2084671671317,4.85,3.75,25,17.0329496247964,0.35802014644182,1.06728662215579,0.436126445297324,0.293623535,0.00870212060974825,150,394.741 ± 1.703,8283.242 ± 52.208,396.497 ± 4.868,1452.235 ± 3.400,75.173 ± 1.826,17.033 ± 0.358,1.067 ± 0.436,0.2936 ± 0.0087
10,3,R10_I03,4,GA_DP,Proposed GA-DP,20,391.971413119252,0.342476613111357,8162.45749019887,64.9495186177958,406.761560044671,5.3740495037311,1442.14047489093,4.44027277522503,72.335256412616,0.315493785145545,3326.92553053319,64.9495186177955,4.9,3.9,25,17.6150861341191,0.0719820510575699,0.358150197817788,0.0876857807163932,0.160103285,0.00580215481934582,150,391.971 ± 0.342,8162.457 ± 64.950,406.762 ± 5.374,1442.140 ± 4.440,72.335 ± 0.315,17.615 ± 0.072,0.358 ± 0.088,0.1601 ± 0.0058
10,3,R10_I03,5,EXACT,Exact optimum,1,390.57257666331,0,7916.30505503626,0,421.533068206485,0,1423.89299816873,0,71.056082656538,0,3080.77309537059,0,4,4,25,17.9090948732211,0,0,0,0.0494478,0,0,390.573 ± 0.000,7916.305 ± 0.000,421.533 ± 0.000,1423.893 ± 0.000,71.056 ± 0.000,17.909 ± 0.000,0.000 ± 0.000,0.0494 ± 0.0000
10,4,R10_I04,1,FIXED,Fixed order + fixed direction,1,509.449343321122,0,13104.1492605599,0,755.93446872007,0,1824.17535783783,0,190.811320824852,0,8286.07447422506,0,9,9,25,0,0,25.2382049871514,0,2.42e-05,0,0,509.449 ± 0.000,13104.149 ± 0.000,755.934 ± 0.000,1824.175 ± 0.000,190.811 ± 0.000,0.000 ± 0.000,25.238 ± 0.000,0.0000 ± 0.0000
10,4,R10_I04,2,NN_DP,Nearest neighbour-DP,1,429.063665744356,0,9665.10159867879,0,521.180650177094,0,1555.23522017544,0,110.472021153451,0,4847.02681234393,0,6,5,25,15.7789343789764,0,5.47695080482082,0,0.0001726,0,0,429.064 ± 0.000,9665.102 ± 0.000,521.181 ± 0.000,1555.235 ± 0.000,110.472 ± 0.000,15.779 ± 0.000,5.477 ± 0.000,0.0002 ± 0.0000
10,4,R10_I04,3,JOINT_GA,Joint-encoding GA,20,419.260395563918,2.17526037423664,9155.09907122668,118.06045961337,484.718138873188,22.130057886173,1527.56994282231,12.2253835936768,100.843542829086,2.15234779867631,4337.02428489182,118.06045961337,5.65,4.8,25.6251029111078,17.7032219080427,0.426982663292099,3.06700764462663,0.534745423113358,0.292082005,0.00610000266173152,150,419.260 ± 2.175,9155.099 ± 118.060,484.718 ± 22.130,1527.570 ± 12.225,100.844 ± 2.152,17.703 ± 0.427,3.067 ± 0.535,0.2921 ± 0.0061
10,4,R10_I04,4,GA_DP,Proposed GA-DP,20,406.969127239128,0.451430436482017,8908.44748916482,8.44929610068542,395.197350022692,16.9229210970328,1503.27814844197,1.86721037950737,88.5072553627388,0.436360348878895,4090.37270282996,8.44929610068542,5.85,3.85,25,20.1158795129503,0.0886114473205778,0.0454385677542917,0.110975386037425,0.15933686,0.0030236855599887,150,406.969 ± 0.451,8908.447 ± 8.449,395.197 ± 16.923,1503.278 ± 1.867,88.507 ± 0.436,20.116 ± 0.089,0.045 ± 0.111,0.1593 ± 0.0030
10,4,R10_I04,5,EXACT,Exact optimum,1,406.784290283774,0,8911.90703030322,0,388.268306346207,0,1504.04267261593,0,88.3285888134634,0,4093.83224396837,0,6,4,25,20.1521612272714,0,0,0,0.0470259,0,0,406.784 ± 0.000,8911.907 ± 0.000,388.268 ± 0.000,1504.043 ± 0.000,88.329 ± 0.000,20.152 ± 0.000,0.000 ± 0.000,0.0470 ± 0.0000
10,5,R10_I05,1,FIXED,Fixed order + fixed direction,1,492.988521100502,0,12542.1595357526,0,647.051161764131,0,1803.89495403072,0,173.304248600355,0,7710.70494643809,0,10,8,25,0,0,25.259633542145,0,2.43e-05,0,0,492.989 ± 0.000,12542.160 ± 0.000,647.051 ± 0.000,1803.895 ± 0.000,173.304 ± 0.000,0.000 ± 0.000,25.260 ± 0.000,0.0000 ± 0.0000
10,5,R10_I05,2,NN_DP,Nearest neighbour-DP,1,411.190703639119,0,8913.83203962133,0,421.444623243326,0,1513.25363408226,0,91.9242382347767,0,4082.37745030681,0,4,4,25,16.5922357134777,0,4.4762598909939,0,0.000165,0,0,411.191 ± 0.000,8913.832 ± 0.000,421.445 ± 0.000,1513.254 ± 0.000,91.924 ± 0.000,16.592 ± 0.000,4.476 ± 0.000,0.0002 ± 0.0000
10,5,R10_I05,3,JOINT_GA,Joint-encoding GA,20,394.386711858072,1.27745467997098,8143.2617408944,65.5617461304378,398.317269246386,9.65254093739914,1449.75424083127,7.49331004032543,75.0649839768614,1.27355531154498,3311.80715157988,65.5617461304379,6,5.05,25,20.0008326811181,0.259124629741745,0.206663820398888,0.32457856163195,0.290430945,0.00580046979353941,150,394.387 ± 1.277,8143.262 ± 65.562,398.317 ± 9.653,1449.754 ± 7.493,75.065 ± 1.274,20.001 ± 0.259,0.207 ± 0.325,0.2904 ± 0.0058
