ScaleR,InstanceNumber,InstanceID,MethodOrder,MethodID,MethodLabel,Run,Seed,J,L3D_m,Hplus_m,FlightTime_s,TransferEnergy_kJ,TransferLength_m,DetourCount,UnsafeStraightCount,MinimumTransferClearance_m,ImprovementVsFixed_pct,GapToExact_pct,Runtime_s,Generations,OrderLibraryIndices,OrderRouteIDs,Directions,Feasible,OptimalityCertified,ExactSolverGap_pct
5,2,R05_I02,3,JOINT_GA,Joint-encoding GA,6,20764006,218.055552709551,5144.75470431962,252.024796891146,790.837849177117,58.9051966921588,2737.84645450859,3,2,25.204433963884,9.70308404477589,0,0.2512822,150,4-24-20-12-21,M001_S001200|M007_S007800|M005_S006200|F132_S000000|M002_S011200,-+---,1,0,NaN
5,2,R05_I02,3,JOINT_GA,Joint-encoding GA,7,20764007,218.055552709551,5144.75470431962,252.024796891146,790.837849177117,58.9051966921588,2737.84645450859,3,2,25.204433963884,9.70308404477589,0,0.2509908,150,4-24-20-12-21,M001_S001200|M007_S007800|M005_S006200|F132_S000000|M002_S011200,-+---,1,0,NaN
5,2,R05_I02,3,JOINT_GA,Joint-encoding GA,8,20764008,218.055552709551,5144.75470431962,252.024796891146,790.837849177117,58.9051966921588,2737.84645450859,3,2,25.204433963884,9.70308404477589,0,0.2505491,150,4-24-20-12-21,M001_S001200|M007_S007800|M005_S006200|F132_S000000|M002_S011200,-+---,1,0,NaN
5,2,R05_I02,3,JOINT_GA,Joint-encoding GA,9,20764009,218.055552709551,5144.75470431962,252.024796891146,790.837849177117,58.9051966921588,2737.84645450859,3,2,25.204433963884,9.70308404477589,0,0.251852,150,4-24-20-12-21,M001_S001200|M007_S007800|M005_S006200|F132_S000000|M002_S011200,-+---,1,0,NaN
5,2,R05_I02,3,JOINT_GA,Joint-encoding GA,10,20764010,218.055552709551,5144.75470431962,252.024796891146,790.837849177117,58.9051966921588,2737.84645450859,3,2,25.204433963884,9.70308404477589,0,0.2492182,150,4-24-20-12-21,M001_S001200|M007_S007800|M005_S006200|F132_S000000|M002_S011200,-+---,1,0,NaN
5,2,R05_I02,3,JOINT_GA,Joint-encoding GA,11,20764011,218.055552709551,5144.75470431962,252.024796891146,790.837849177117,58.9051966921588,2737.84645450859,3,2,25.204433963884,9.70308404477589,0,0.2493421,150,4-24-20-12-21,M001_S001200|M007_S007800|M005_S006200|F132_S000000|M002_S011200,-+---,1,0,NaN
5,2,R05_I02,3,JOINT_GA,Joint-encoding GA,12,20764012,218.055552709551,5144.75470431962,252.024796891146,790.837849177117,58.9051966921588,2737.84645450859,3,2,25.204433963884,9.70308404477589,0,0.2473756,150,4-24-20-12-21,M001_S001200|M007_S007800|M005_S006200|F132_S000000|M002_S011200,-+---,1,0,NaN
5,2,R05_I02,3,JOINT_GA,Joint-encoding GA,13,20764013,218.055552709551,5144.75470431962,252.024796891146,790.837849177117,58.9051966921588,2737.84645450859,3,2,25.204433963884,9.70308404477589,0,0.2496532,150,4-24-20-12-21,M001_S001200|M007_S007800|M005_S006200|F132_S000000|M002_S011200,-+---,1,0,NaN
5,2,R05_I02,3,JOINT_GA,Joint-encoding GA,14,20764014,218.055552709551,5144.75470431962,252.024796891146,790.837849177117,58.9051966921588,2737.84645450859,3,2,25.204433963884,9.70308404477589,0,0.2498694,150,4-24-20-12-21,M001_S001200|M007_S007800|M005_S006200|F132_S000000|M002_S011200,-+---,1,0,NaN
5,2,R05_I02,3,JOINT_GA,Joint-encoding GA,15,20764015,218.055552709551,5144.75470431962,252.024796891146,790.837849177117,58.9051966921588,2737.84645450859,3,2,25.204433963884,9.70308404477589,0,0.2537122,150,4-24-20-12-21,M001_S001200|M007_S007800|M005_S006200|F132_S000000|M002_S011200,-+---,1,0,NaN
