road_id,short_id,road_class,source_feature_id,paper_road_id,representative_longitude_deg,representative_latitude_deg,coordinate_reference_system,google_maps_lookup_url,source_note
MORND-FLD-171,F171,Field,171,,99.0607206136942,24.2516691745008,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25166917,99.06072061",Manually digitized with Google satellite imagery as reference
MORND-FLD-172,F172,Field,172,,99.0609574477223,24.2516128129261,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25161281,99.06095745",Manually digitized with Google satellite imagery as reference
MORND-FLD-173,F173,Field,173,,99.0613449685996,24.2515860255677,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25158603,99.06134497",Manually digitized with Google satellite imagery as reference
MORND-FLD-174,F174,Field,174,,99.0617036008933,24.2516779511357,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25167795,99.06170360",Manually digitized with Google satellite imagery as reference
MORND-FLD-175,F175,Field,175,,99.0619586479478,24.2519929282307,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25199293,99.06195865",Manually digitized with Google satellite imagery as reference
MORND-FLD-176,F176,Field,176,,99.0624893270775,24.2519862385769,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25198624,99.06248933",Manually digitized with Google satellite imagery as reference
MORND-FLD-177,F177,Field,177,,99.0631875322424,24.2531305878367,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25313059,99.06318753",Manually digitized with Google satellite imagery as reference
MORND-FLD-178,F178,Field,178,,99.0614044959707,24.2525113811173,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25251138,99.06140450",Manually digitized with Google satellite imagery as reference
MORND-FLD-179,F179,Field,179,,99.0621684975822,24.2525165403503,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25251654,99.06216850",Manually digitized with Google satellite imagery as reference
MORND-FLD-180,F180,Field,180,,99.0626661296488,24.2526637773314,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25266378,99.06266613",Manually digitized with Google satellite imagery as reference
MORND-FLD-181,F181,Field,181,,99.0633219185697,24.2529099865158,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25290999,99.06332192",Manually digitized with Google satellite imagery as reference
MORND-FLD-182,F182,Field,182,,99.0640241926998,24.2530961287352,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25309613,99.06402419",Manually digitized with Google satellite imagery as reference
MORND-FLD-183,F183,Field,183,,99.0666248123103,24.254160166219,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25416017,99.06662481",Manually digitized with Google satellite imagery as reference
MORND-FLD-184,F184,Field,184,,99.065739430574,24.2535328849528,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25353288,99.06573943",Manually digitized with Google satellite imagery as reference
MORND-FLD-185,F185,Field,185,,99.0660176485041,24.2535797091095,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25357971,99.06601765",Manually digitized with Google satellite imagery as reference
MORND-FLD-186,F186,Field,186,,99.0664169274838,24.2537238301898,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25372383,99.06641693",Manually digitized with Google satellite imagery as reference
MORND-FLD-187,F187,Field,187,,99.0653815369006,24.2537513451143,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25375135,99.06538154",Manually digitized with Google satellite imagery as reference
MORND-FLD-188,F188,Field,188,,99.0669302818929,24.2538303838289,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25383038,99.06693028",Manually digitized with Google satellite imagery as reference
